o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,s_nationkey,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,COLLECT COD,1,Manufacturer#5,1-URGENT,3,MACHINERY,FOB,3,17,1996-08-29,1996-11-08,1996-12-13,1996-12-22,0,21535.8264
O,NONE,2,Manufacturer#5,1-URGENT,3,MACHINERY,RAIL,6,21,1996-08-29,1996-11-14,1996-10-20,1996-11-06,0,41221.207872
O,NONE,0,Manufacturer#5,2-HIGH,1,AUTOMOBILE,TRUCK,1,15,1996-03-19,1996-04-27,1996-04-30,1996-05-26,0,41703.8706
F,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,0,BUILDING,SHIP,4,24,1993-09-27,1993-12-09,1994-01-06,1994-02-05,2,15322.398
F,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,BUILDING,TRUCK,5,4,1993-09-27,1993-11-06,1993-12-16,1993-12-27,1,1015.107716
F,COLLECT COD,0,Manufacturer#3,2-HIGH,0,BUILDING,AIR,3,16,1993-09-27,1993-11-06,1993-12-08,1993-12-20,2,1715.7
F,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,0,BUILDING,RAIL,1,3,1993-09-27,1993-12-01,1993-12-03,1993-12-26,2,46186.50036
F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,0,BUILDING,AIR,2,3,1993-09-27,1993-11-14,1993-11-23,1993-11-29,1,21040.82736
O,COLLECT COD,0,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,RAIL,3,16,1997-09-17,1997-11-18,1997-10-31,1997-11-26,0,11337.031398
O,NONE,0,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,FOB,2,0,1997-09-17,1997-12-13,1997-09-26,1997-10-13,0,58538.05056
O,NONE,3,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,TRUCK,4,6,1997-09-17,1997-12-12,1997-12-07,1997-12-14,0,47520.610592
O,NONE,4,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,FOB,5,4,1997-09-17,1997-12-03,1997-10-28,1997-11-13,0,5728.38336
O,TAKE BACK RETURN,2,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,AIR,6,12,1997-09-17,1997-11-12,1997-10-29,1997-11-03,0,6528.26265
O,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,AIR,7,23,1997-09-17,1997-10-28,1997-12-16,1998-01-05,0,12030.40746
O,TAKE BACK RETURN,1,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,MAIL,1,17,1997-09-17,1997-10-31,1997-09-19,1997-09-22,0,36859.806984
F,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,3,HOUSEHOLD,FOB,1,6,1993-09-18,1993-11-21,1993-11-29,1993-12-20,2,79435.472606
F,COLLECT COD,2,Manufacturer#3,5-LOW,3,HOUSEHOLD,MAIL,4,12,1993-09-18,1993-10-29,1993-10-14,1993-10-15,1,26000.417124
F,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,3,HOUSEHOLD,REG AIR,3,18,1993-09-18,1993-12-06,1993-12-31,1994-01-12,2,11757.265344
F,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,3,HOUSEHOLD,REG AIR,2,17,1993-09-18,1993-11-17,1993-12-26,1993-12-31,2,34990.450302
F,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,2,AUTOMOBILE,REG AIR,2,6,1992-08-17,1992-10-09,1992-10-01,1992-10-30,2,71916.64704
F,NONE,0,Manufacturer#4,2-HIGH,2,AUTOMOBILE,RAIL,1,15,1992-08-17,1992-10-07,1992-11-15,1992-11-22,1,57461.770872
F,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,2,AUTOMOBILE,RAIL,3,24,1992-08-17,1992-09-24,1992-10-05,1992-11-03,1,2947.458696
O,COLLECT COD,3,Manufacturer#5,3-MEDIUM,2,BUILDING,RAIL,4,19,1997-07-22,1997-10-01,1997-11-20,1997-11-28,0,10956.035016
O,DELIVER IN PERSON,2,Manufacturer#2,3-MEDIUM,2,BUILDING,REG AIR,1,21,1997-07-22,1997-09-22,1997-10-24,1997-11-20,0,56642.66928
O,DELIVER IN PERSON,3,Manufacturer#1,3-MEDIUM,2,BUILDING,RAIL,2,23,1997-07-22,1997-08-30,1997-08-04,1997-08-26,0,57733.776
O,DELIVER IN PERSON,3,Manufacturer#5,3-MEDIUM,2,BUILDING,RAIL,3,7,1997-07-22,1997-09-07,1997-11-03,1997-11-13,0,23264.109
O,TAKE BACK RETURN,3,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,TRUCK,2,6,1996-03-02,1996-04-10,1996-03-04,1996-03-18,0,41827.322304
O,TAKE BACK RETURN,1,Manufacturer#4,4-NOT SPECIFIED,4,AUTOMOBILE,REG AIR,1,24,1996-03-02,1996-05-15,1996-03-09,1996-03-26,0,40178.667984
O,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,1,MACHINERY,SHIP,1,16,1996-12-22,1997-02-10,1996-12-24,1997-01-10,0,7178.0485
O,TAKE BACK RETURN,4,Manufacturer#4,5-LOW,1,MACHINERY,FOB,4,10,1996-12-22,1997-02-20,1996-12-27,1997-01-25,0,71871.05016
O,NONE,1,Manufacturer#3,5-LOW,1,MACHINERY,SHIP,6,24,1996-12-22,1997-01-28,1996-12-30,1997-01-24,0,2000.6208
O,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,1,MACHINERY,TRUCK,7,4,1996-12-22,1997-03-01,1997-01-23,1997-01-26,0,57857.235516
O,TAKE BACK RETURN,3,Manufacturer#3,5-LOW,1,MACHINERY,FOB,3,7,1996-12-22,1997-03-18,1996-12-28,1996-12-29,0,33375.733248
O,NONE,0,Manufacturer#3,5-LOW,1,MACHINERY,AIR,2,14,1996-12-22,1997-03-20,1997-02-22,1997-03-21,0,57233.38376
O,DELIVER IN PERSON,3,Manufacturer#5,5-LOW,1,MACHINERY,SHIP,5,22,1996-12-22,1997-02-06,1997-01-19,1997-02-12,0,29195.305632
O,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,4,FURNITURE,FOB,5,2,1995-07-06,1995-09-19,1995-08-05,1995-08-28,0,16862.06808
O,COLLECT COD,3,Manufacturer#2,3-MEDIUM,4,FURNITURE,TRUCK,2,22,1995-07-06,1995-08-18,1995-09-27,1995-10-11,0,22691.638725
O,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,4,FURNITURE,SHIP,6,24,1995-07-06,1995-09-17,1995-08-10,1995-08-22,0,9970.29216
O,NONE,1,Manufacturer#5,3-MEDIUM,4,FURNITURE,MAIL,3,17,1995-07-06,1995-09-17,1995-08-02,1995-08-18,0,17914.23816
O,NONE,1,Manufacturer#1,3-MEDIUM,4,FURNITURE,TRUCK,4,24,1995-07-06,1995-08-06,1995-10-08,1995-10-22,0,15406.3056
O,NONE,3,Manufacturer#4,3-MEDIUM,4,FURNITURE,MAIL,1,7,1995-07-06,1995-08-24,1995-09-24,1995-10-20,0,39282.27732
O,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,4,HOUSEHOLD,RAIL,3,22,1996-11-03,1997-01-06,1996-12-06,1996-12-28,0,79226.0766
O,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,4,HOUSEHOLD,MAIL,5,8,1996-11-03,1997-01-09,1996-12-08,1996-12-30,0,64258.293216
O,COLLECT COD,0,Manufacturer#5,4-NOT SPECIFIED,4,HOUSEHOLD,REG AIR,4,14,1996-11-03,1997-01-25,1996-11-21,1996-12-08,0,43492.6401
O,NONE,0,Manufacturer#3,4-NOT SPECIFIED,4,HOUSEHOLD,REG AIR,1,16,1996-11-03,1996-12-04,1996-12-07,1996-12-08,0,21672
O,COLLECT COD,3,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,TRUCK,2,7,1996-11-03,1997-01-11,1997-03-04,1997-03-07,0,30820.3335
O,COLLECT COD,2,Manufacturer#1,4-NOT SPECIFIED,4,HOUSEHOLD,SHIP,7,9,1996-11-03,1997-01-21,1996-11-14,1996-12-12,0,35732.351748
O,NONE,0,Manufacturer#1,4-NOT SPECIFIED,4,HOUSEHOLD,REG AIR,6,14,1996-11-03,1996-12-08,1997-01-02,1997-01-31,0,54695.624256
F,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,HOUSEHOLD,AIR,2,4,1993-10-31,1993-11-30,1993-12-12,1993-12-25,2,28958.05728
F,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,4,HOUSEHOLD,REG AIR,1,21,1993-10-31,1993-12-22,1993-11-18,1993-12-14,2,43751.792994
O,COLLECT COD,0,Manufacturer#3,3-MEDIUM,4,BUILDING,SHIP,1,0,1996-05-17,1996-06-20,1996-08-31,1996-09-28,0,54361.692
O,NONE,3,Manufacturer#3,3-MEDIUM,4,BUILDING,FOB,2,19,1996-05-17,1996-07-19,1996-09-13,1996-09-18,0,20922.2889
F,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,4,BUILDING,RAIL,7,14,1994-07-01,1994-08-22,1994-10-17,1994-10-28,1,5215.552128
F,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,4,BUILDING,TRUCK,5,9,1994-07-01,1994-09-19,1994-10-21,1994-11-14,1,28515.39264
F,DELIVER IN PERSON,1,Manufacturer#2,2-HIGH,4,BUILDING,SHIP,2,24,1994-07-01,1994-08-14,1994-08-20,1994-09-19,2,74415.335904
F,NONE,3,Manufacturer#4,2-HIGH,4,BUILDING,AIR,4,23,1994-07-01,1994-08-03,1994-09-16,1994-10-12,2,16970.00256
F,COLLECT COD,4,Manufacturer#5,2-HIGH,4,BUILDING,FOB,1,10,1994-07-01,1994-08-30,1994-07-10,1994-07-31,1,42477.22365
F,NONE,3,Manufacturer#4,2-HIGH,4,BUILDING,MAIL,3,19,1994-07-01,1994-08-09,1994-10-28,1994-11-13,2,24317.067502
F,COLLECT COD,3,Manufacturer#1,2-HIGH,4,BUILDING,SHIP,6,19,1994-07-01,1994-08-19,1994-10-19,1994-10-30,2,6227.56692
O,TAKE BACK RETURN,0,Manufacturer#1,4-NOT SPECIFIED,4,FURNITURE,AIR,1,14,1997-08-29,1997-10-19,1997-09-15,1997-09-16,0,54052.0488
O,TAKE BACK RETURN,1,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,SHIP,3,2,1997-08-29,1997-11-22,1997-12-20,1998-01-17,0,2778.600924
O,NONE,0,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,TRUCK,2,5,1997-08-29,1997-10-25,1997-12-06,1997-12-14,0,53466.33744
F,TAKE BACK RETURN,1,Manufacturer#4,2-HIGH,1,MACHINERY,REG AIR,1,3,1992-07-07,1992-08-11,1992-09-28,1992-10-24,2,51435.41634
F,TAKE BACK RETURN,1,Manufacturer#4,2-HIGH,1,MACHINERY,TRUCK,2,1,1992-07-07,1992-10-04,1992-09-07,1992-09-14,1,49078.46944
F,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,1,MACHINERY,FOB,4,18,1992-07-07,1992-09-06,1992-10-22,1992-10-31,2,35457.62
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,MACHINERY,AIR,3,21,1992-07-07,1992-09-18,1992-10-02,1992-10-30,2,26948.476884
F,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,0,FURNITURE,MAIL,3,0,1993-11-27,1994-02-24,1994-02-20,1994-03-12,2,69678.188398
F,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,0,FURNITURE,REG AIR,2,9,1993-11-27,1993-12-31,1994-01-12,1994-01-21,2,42584.6603
F,NONE,2,Manufacturer#4,2-HIGH,0,FURNITURE,AIR,1,12,1993-11-27,1994-01-21,1994-02-01,1994-02-03,2,15675.371424
O,DELIVER IN PERSON,3,Manufacturer#5,4-NOT SPECIFIED,0,AUTOMOBILE,MAIL,2,19,1996-06-18,1996-08-19,1996-07-21,1996-08-02,0,42031.6078
O,TAKE BACK RETURN,1,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,MAIL,1,2,1996-06-18,1996-09-14,1996-10-02,1996-10-12,0,24298.754976
O,DELIVER IN PERSON,4,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,SHIP,5,11,1996-06-18,1996-07-31,1996-09-25,1996-10-05,0,37180.08768
O,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,0,AUTOMOBILE,RAIL,4,0,1996-06-18,1996-09-05,1996-07-05,1996-07-08,0,6470.2638
O,NONE,4,Manufacturer#2,4-NOT SPECIFIED,0,AUTOMOBILE,REG AIR,3,11,1996-06-18,1996-08-13,1996-10-06,1996-10-21,0,61330.77108
O,COLLECT COD,1,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,SHIP,1,24,1996-06-26,1996-09-21,1996-10-24,1996-11-21,0,76953.317232
O,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,REG AIR,2,14,1996-06-26,1996-09-03,1996-10-17,1996-10-20,0,17003.4357
O,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,REG AIR,3,19,1996-06-26,1996-08-26,1996-08-26,1996-08-30,0,48956.054208
O,TAKE BACK RETURN,2,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,REG AIR,4,8,1996-06-26,1996-08-05,1996-09-02,1996-09-11,0,32838.817824
F,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,3,FURNITURE,MAIL,3,18,1994-06-14,1994-08-17,1994-09-04,1994-09-11,1,45796.96407
F,DELIVER IN PERSON,0,Manufacturer#2,2-HIGH,3,FURNITURE,TRUCK,4,0,1994-06-14,1994-07-16,1994-07-29,1994-07-30,1,51978.23568
F,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,3,FURNITURE,MAIL,1,9,1994-06-14,1994-08-16,1994-09-21,1994-10-16,2,44522.4432
F,TAKE BACK RETURN,3,Manufacturer#3,2-HIGH,3,FURNITURE,FOB,2,22,1994-06-14,1994-07-28,1994-09-23,1994-10-05,1,68536.404288
F,TAKE BACK RETURN,3,Manufacturer#3,2-HIGH,3,FURNITURE,TRUCK,5,22,1994-06-14,1994-07-20,1994-09-15,1994-10-04,2,51890.250456
O,COLLECT COD,2,Manufacturer#4,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,6,8,1997-05-07,1997-07-04,1997-08-04,1997-08-23,0,1575.402608
O,NONE,0,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,5,0,1997-05-07,1997-08-01,1997-05-30,1997-06-01,0,25720.397208
O,NONE,2,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,RAIL,2,21,1997-05-07,1997-06-20,1997-06-12,1997-06-16,0,48148.2666
O,NONE,2,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,1,9,1997-05-07,1997-07-11,1997-07-12,1997-08-05,0,39890.9524
O,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,3,4,1997-05-07,1997-07-08,1997-06-29,1997-07-09,0,7127.0208
O,COLLECT COD,1,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,RAIL,4,17,1997-05-07,1997-07-06,1997-05-14,1997-05-15,0,17472.887784
O,COLLECT COD,2,Manufacturer#3,2-HIGH,4,BUILDING,SHIP,2,18,1995-12-11,1996-02-14,1996-01-28,1996-02-11,0,23896.439424
O,COLLECT COD,2,Manufacturer#5,2-HIGH,4,BUILDING,TRUCK,4,18,1995-12-11,1996-02-13,1995-12-22,1996-01-03,0,58443.21489
O,COLLECT COD,2,Manufacturer#2,2-HIGH,4,BUILDING,REG AIR,5,8,1995-12-11,1996-01-14,1995-12-22,1995-12-23,0,29542.41045
O,TAKE BACK RETURN,2,Manufacturer#5,2-HIGH,4,BUILDING,TRUCK,3,12,1995-12-11,1996-03-09,1996-03-27,1996-04-03,0,33456.3
O,NONE,1,Manufacturer#5,2-HIGH,4,BUILDING,RAIL,1,24,1995-12-11,1996-03-01,1996-04-09,1996-04-16,0,35527.0482
F,NONE,1,Manufacturer#2,5-LOW,2,FURNITURE,TRUCK,4,1,1994-10-11,1994-11-15,1994-10-12,1994-11-07,1,35179.374552
F,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,2,FURNITURE,FOB,3,6,1994-10-11,1994-11-17,1994-12-22,1995-01-16,2,83108.787696
F,COLLECT COD,2,Manufacturer#1,5-LOW,2,FURNITURE,FOB,2,9,1994-10-11,1994-12-17,1995-01-30,1995-02-04,2,64305.647928
F,DELIVER IN PERSON,1,Manufacturer#2,5-LOW,2,FURNITURE,MAIL,1,3,1994-10-11,1994-12-18,1995-01-30,1995-02-01,2,42065.5872
O,COLLECT COD,3,Manufacturer#4,5-LOW,1,MACHINERY,FOB,6,19,1996-10-15,1996-11-23,1996-12-04,1997-01-01,0,9548.121836
O,DELIVER IN PERSON,3,Manufacturer#2,5-LOW,1,MACHINERY,SHIP,4,22,1996-10-15,1996-12-05,1996-11-08,1996-11-29,0,22143.0294
O,TAKE BACK RETURN,0,Manufacturer#5,5-LOW,1,MACHINERY,MAIL,7,16,1996-10-15,1996-12-27,1996-10-30,1996-11-25,0,41539.03104
O,DELIVER IN PERSON,3,Manufacturer#1,5-LOW,1,MACHINERY,MAIL,1,7,1996-10-15,1996-12-06,1996-12-01,1996-12-18,0,36592.668
O,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,1,MACHINERY,MAIL,2,1,1996-10-15,1996-11-26,1996-12-10,1997-01-01,0,16332.9984
O,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,1,MACHINERY,FOB,5,8,1996-10-15,1997-01-02,1996-11-27,1996-12-01,0,23665.15008
O,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,1,MACHINERY,TRUCK,3,16,1996-10-15,1997-01-12,1996-12-17,1997-01-14,0,47094.8736
F,COLLECT COD,2,Manufacturer#4,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,3,8,1993-10-31,1993-12-26,1994-01-23,1994-02-17,1,5888.051136
F,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,3,AUTOMOBILE,AIR,1,4,1993-10-31,1994-01-27,1994-01-12,1994-01-21,1,7221.75048
F,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,3,AUTOMOBILE,SHIP,4,14,1993-10-31,1994-01-13,1994-01-20,1994-01-30,2,39038.390055
F,NONE,2,Manufacturer#5,4-NOT SPECIFIED,3,AUTOMOBILE,TRUCK,5,8,1993-10-31,1994-01-25,1994-01-25,1994-02-14,2,21965.1504
F,DELIVER IN PERSON,3,Manufacturer#3,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,2,23,1993-10-31,1994-01-26,1993-11-30,1993-12-17,1,23818.84752
P,COLLECT COD,2,Manufacturer#3,5-LOW,3,BUILDING,AIR,3,12,1995-04-21,1995-06-09,1995-04-26,1995-05-10,1,1386.2198
P,DELIVER IN PERSON,0,Manufacturer#4,5-LOW,3,BUILDING,FOB,1,15,1995-04-21,1995-06-04,1995-07-31,1995-08-25,0,54111.9544
P,TAKE BACK RETURN,1,Manufacturer#4,5-LOW,3,BUILDING,TRUCK,4,24,1995-04-21,1995-06-24,1995-08-07,1995-08-22,0,53881.818648
P,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,3,BUILDING,MAIL,5,7,1995-04-21,1995-06-21,1995-07-17,1995-07-25,0,13359.228
P,COLLECT COD,1,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,6,17,1995-04-21,1995-06-14,1995-07-08,1995-07-13,0,34380.1458
P,NONE,2,Manufacturer#4,5-LOW,3,BUILDING,FOB,2,8,1995-04-21,1995-05-26,1995-08-07,1995-09-04,0,29348.61232
F,COLLECT COD,2,Manufacturer#3,1-URGENT,2,AUTOMOBILE,RAIL,1,21,1992-01-26,1992-03-27,1992-05-14,1992-05-18,2,31027.651776
O,COLLECT COD,3,Manufacturer#5,5-LOW,4,FURNITURE,AIR,1,22,1997-07-25,1997-08-31,1997-11-22,1997-12-06,0,23374.783344
F,NONE,1,Manufacturer#4,3-MEDIUM,3,AUTOMOBILE,REG AIR,1,1,1993-04-17,1993-07-15,1993-05-28,1993-06-07,2,39255.2433
O,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,1,MACHINERY,SHIP,7,12,1996-06-14,1996-07-21,1996-08-31,1996-09-12,0,15484.30191
O,NONE,3,Manufacturer#3,5-LOW,1,MACHINERY,TRUCK,4,23,1996-06-14,1996-08-15,1996-07-09,1996-07-11,0,19786.97133
O,TAKE BACK RETURN,2,Manufacturer#4,5-LOW,1,MACHINERY,SHIP,5,21,1996-06-14,1996-07-15,1996-07-18,1996-08-01,0,74249.66736
O,NONE,2,Manufacturer#5,5-LOW,1,MACHINERY,SHIP,6,8,1996-06-14,1996-08-24,1996-06-23,1996-07-03,0,74692.9638
O,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,1,MACHINERY,MAIL,2,24,1996-06-14,1996-09-08,1996-08-09,1996-08-24,0,16248.683592
O,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,1,MACHINERY,REG AIR,3,18,1996-06-14,1996-08-21,1996-08-11,1996-09-05,0,44513.9292
O,DELIVER IN PERSON,3,Manufacturer#1,5-LOW,1,MACHINERY,MAIL,1,22,1996-06-14,1996-08-06,1996-07-18,1996-07-21,0,33164.6016
F,NONE,2,Manufacturer#4,3-MEDIUM,2,MACHINERY,SHIP,1,21,1993-04-29,1993-07-20,1993-06-12,1993-07-06,1,55483.853568
P,NONE,4,Manufacturer#1,1-URGENT,4,MACHINERY,REG AIR,1,4,1995-05-01,1995-06-29,1995-08-10,1995-08-22,0,45812.958412
P,TAKE BACK RETURN,3,Manufacturer#5,1-URGENT,4,MACHINERY,TRUCK,3,19,1995-05-01,1995-07-05,1995-06-13,1995-07-05,3,20584.00916
P,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,4,MACHINERY,FOB,2,24,1995-05-01,1995-06-30,1995-07-05,1995-08-03,0,12518.63545
P,COLLECT COD,3,Manufacturer#1,1-URGENT,4,MACHINERY,TRUCK,4,23,1995-05-01,1995-06-16,1995-05-23,1995-06-06,2,56393.579424
F,COLLECT COD,3,Manufacturer#4,2-HIGH,3,AUTOMOBILE,AIR,1,23,1994-01-19,1994-03-29,1994-04-24,1994-05-11,1,5038.7156
F,NONE,0,Manufacturer#4,3-MEDIUM,2,AUTOMOBILE,FOB,3,14,1993-10-04,1993-12-11,1993-12-03,1993-12-22,2,35959.99968
F,NONE,2,Manufacturer#4,3-MEDIUM,2,AUTOMOBILE,RAIL,1,21,1993-10-04,1993-11-10,1993-12-21,1994-01-05,2,40073.08032
F,NONE,4,Manufacturer#4,3-MEDIUM,2,AUTOMOBILE,AIR,2,11,1993-10-04,1993-12-13,1994-01-20,1994-02-19,2,8991.21
O,NONE,2,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,MAIL,1,21,1997-02-14,1997-05-07,1997-02-22,1997-03-23,0,8326.06236
O,NONE,4,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,TRUCK,3,4,1997-02-14,1997-04-17,1997-03-05,1997-03-17,0,17627.4576
O,TAKE BACK RETURN,0,Manufacturer#4,4-NOT SPECIFIED,2,MACHINERY,FOB,4,0,1997-02-14,1997-04-08,1997-04-09,1997-04-17,0,84089.8188
O,COLLECT COD,1,Manufacturer#2,4-NOT SPECIFIED,2,MACHINERY,REG AIR,2,24,1997-02-14,1997-04-13,1997-06-02,1997-06-28,0,42585.45018
O,NONE,2,Manufacturer#2,4-NOT SPECIFIED,2,MACHINERY,FOB,5,18,1997-02-14,1997-03-23,1997-05-03,1997-05-28,0,50179.7587
F,COLLECT COD,4,Manufacturer#4,3-MEDIUM,0,BUILDING,TRUCK,1,4,1992-07-06,1992-08-10,1992-10-23,1992-10-29,2,24915.12
F,NONE,2,Manufacturer#5,3-MEDIUM,0,BUILDING,REG AIR,2,9,1992-07-06,1992-08-14,1992-11-03,1992-11-26,2,67176.367632
F,TAKE BACK RETURN,2,Manufacturer#5,3-MEDIUM,0,BUILDING,TRUCK,3,9,1992-07-06,1992-08-12,1992-08-29,1992-09-27,2,52904.08431
F,TAKE BACK RETURN,1,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,RAIL,2,24,1994-12-02,1995-02-07,1995-01-08,1995-02-03,1,6333.53904
F,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,AIR,1,22,1994-12-02,1995-02-17,1995-01-08,1995-02-04,1,48151.52368
F,COLLECT COD,0,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,RAIL,3,15,1994-12-02,1995-02-03,1995-02-23,1995-02-24,2,37921.45056
F,COLLECT COD,3,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,REG AIR,4,22,1994-12-02,1995-02-28,1995-02-05,1995-03-06,1,68468.4252
O,TAKE BACK RETURN,1,Manufacturer#4,1-URGENT,3,HOUSEHOLD,RAIL,2,2,1998-06-16,1998-08-02,1998-07-31,1998-08-21,0,55975.0808
O,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,3,HOUSEHOLD,FOB,3,16,1998-06-16,1998-07-23,1998-06-26,1998-07-16,0,34215.751024
O,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,3,HOUSEHOLD,REG AIR,4,4,1998-06-16,1998-08-31,1998-08-28,1998-09-19,0,33916.256738
F,COLLECT COD,4,Manufacturer#2,3-MEDIUM,1,BUILDING,AIR,2,4,1994-04-26,1994-06-30,1994-05-19,1994-05-31,1,56027.86644
F,DELIVER IN PERSON,1,Manufacturer#5,3-MEDIUM,1,BUILDING,SHIP,3,2,1994-04-26,1994-06-03,1994-05-30,1994-06-06,2,28044.965052
F,NONE,4,Manufacturer#4,3-MEDIUM,1,BUILDING,FOB,1,20,1994-04-26,1994-07-20,1994-08-02,1994-08-11,1,31358.142249
O,TAKE BACK RETURN,2,Manufacturer#3,4-NOT SPECIFIED,0,BUILDING,FOB,1,18,1995-03-30,1995-05-08,1995-06-26,1995-07-10,0,45573.303825
F,DELIVER IN PERSON,1,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,AIR,4,24,1994-05-22,1994-07-06,1994-07-05,1994-07-14,2,30999.578958
F,DELIVER IN PERSON,1,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,REG AIR,3,1,1994-05-22,1994-08-10,1994-05-25,1994-06-14,2,12273.792273
F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,MAIL,1,24,1994-05-22,1994-08-04,1994-08-05,1994-08-12,2,17455.54293
F,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,SHIP,2,16,1994-05-22,1994-07-18,1994-08-20,1994-08-24,2,34601.2947
F,TAKE BACK RETURN,1,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,RAIL,6,24,1994-05-22,1994-07-10,1994-07-18,1994-08-13,1,42117.9702
F,COLLECT COD,0,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,5,16,1994-05-22,1994-06-21,1994-05-23,1994-06-03,1,53665.111437
F,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,2,AUTOMOBILE,TRUCK,1,4,1993-03-15,1993-06-11,1993-06-15,1993-06-19,2,48324.580392
