l_linestatus,o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,TAKE BACK RETURN,3,Manufacturer#2,5-LOW,1,MACHINERY,AIR,1,0,23,Brand#24,17,JUMBO JAR,34,2459,62030.7
F,F,DELIVER IN PERSON,4,Manufacturer#5,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,1,0.01,20,Brand#53,22,SM CASE,22,2462,43063.3896
F,F,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,AIR,6,0.05,6,Brand#52,15,SM BOX,29,569,19099.5425
F,F,DELIVER IN PERSON,4,Manufacturer#2,2-HIGH,2,BUILDING,TRUCK,2,0.03,13,Brand#25,21,JUMBO CAN,7,2463,23488.146
F,F,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,2,BUILDING,TRUCK,1,0.05,18,Brand#42,21,SM CASE,16,2463,18277.89
F,F,COLLECT COD,4,Manufacturer#5,2-HIGH,2,BUILDING,FOB,4,0.04,10,Brand#54,21,WRAP DRUM,11,2463,50958.0759
F,F,NONE,2,Manufacturer#3,1-URGENT,0,AUTOMOBILE,FOB,1,0,9,Brand#33,15,LG PKG,6,2464,35702.1847
F,F,NONE,1,Manufacturer#5,3-MEDIUM,3,AUTOMOBILE,SHIP,2,0.04,2,Brand#52,22,WRAP DRUM,6,672,1650.6399
F,F,DELIVER IN PERSON,3,Manufacturer#2,1-URGENT,2,MACHINERY,RAIL,5,0,22,Brand#22,12,LG BOX,17,2465,7287.6
F,F,COLLECT COD,0,Manufacturer#4,1-URGENT,0,AUTOMOBILE,FOB,5,0.02,5,Brand#44,15,SM CASE,16,2464,46479.2832
F,F,TAKE BACK RETURN,4,Manufacturer#4,1-URGENT,0,AUTOMOBILE,AIR,4,0.01,11,Brand#41,15,WRAP DRUM,35,2464,27692.9744
F,F,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,3,AUTOMOBILE,TRUCK,3,0.05,17,Brand#11,7,SM CAN,6,406,68795.64
F,F,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,FOB,2,0.07,18,Brand#21,10,SM PKG,38,2466,4970.4
F,F,TAKE BACK RETURN,0,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,AIR,4,0.02,0,Brand#22,10,SM CASE,1,2466,64536.5655
F,F,NONE,2,Manufacturer#1,5-LOW,0,FURNITURE,REG AIR,1,0.05,18,Brand#15,0,LG PKG,11,1444,55048.95
F,F,NONE,0,Manufacturer#3,1-URGENT,1,AUTOMOBILE,RAIL,2,0.06,5,Brand#32,3,JUMBO BAG,43,1203,71508.0912
F,F,DELIVER IN PERSON,3,Manufacturer#4,1-URGENT,1,AUTOMOBILE,REG AIR,4,0.05,23,Brand#43,3,JUMBO CASE,14,1203,13621.446
F,F,NONE,1,Manufacturer#5,1-URGENT,1,AUTOMOBILE,FOB,3,0.07,24,Brand#53,3,LG PKG,50,1203,24962.64
F,F,COLLECT COD,1,Manufacturer#5,5-LOW,2,MACHINERY,AIR,6,0.05,3,Brand#53,18,SM BOX,7,2467,11603.916
F,F,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,2,MACHINERY,RAIL,2,0.01,5,Brand#54,18,SM PKG,30,2467,22497.354
F,F,TAKE BACK RETURN,2,Manufacturer#2,5-LOW,2,MACHINERY,RAIL,3,0,8,Brand#23,18,JUMBO BAG,28,2467,32346.513
F,F,DELIVER IN PERSON,0,Manufacturer#3,5-LOW,4,HOUSEHOLD,AIR,3,0.05,14,Brand#32,4,JUMBO JAR,11,381,69788.2367
F,F,COLLECT COD,0,Manufacturer#3,5-LOW,4,HOUSEHOLD,RAIL,1,0.07,15,Brand#31,4,MED BOX,11,381,14996.6947
F,F,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,HOUSEHOLD,REG AIR,7,0.02,20,Brand#22,4,MED DRUM,24,381,61523.748
F,F,COLLECT COD,0,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,AIR,2,0.05,5,Brand#42,3,WRAP CAN,12,2468,1598.7244
F,F,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,AIR,1,0,12,Brand#11,3,WRAP CASE,40,2468,25763.7644
F,F,DELIVER IN PERSON,3,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,FOB,3,0.06,22,Brand#54,3,JUMBO BOX,11,2468,11565.4672
F,F,NONE,2,Manufacturer#4,5-LOW,2,FURNITURE,SHIP,1,0.04,18,Brand#45,8,JUMBO CASE,12,2469,25480.977
F,F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,2,FURNITURE,AIR,2,0.03,23,Brand#52,8,LG CAN,2,2469,72443.2714
F,F,COLLECT COD,0,Manufacturer#1,3-MEDIUM,3,HOUSEHOLD,FOB,1,0.06,0,Brand#13,22,MED CASE,31,2470,16802.6448
F,F,COLLECT COD,2,Manufacturer#3,3-MEDIUM,3,HOUSEHOLD,AIR,4,0.06,12,Brand#35,22,LG CASE,1,2470,48857.8755
F,F,DELIVER IN PERSON,4,Manufacturer#2,3-MEDIUM,3,HOUSEHOLD,AIR,3,0.02,11,Brand#23,22,WRAP DRUM,2,2470,46226.5118
F,F,TAKE BACK RETURN,2,Manufacturer#2,5-LOW,0,FURNITURE,RAIL,4,0,12,Brand#21,0,LG BAG,36,1444,13301.8292
F,F,NONE,4,Manufacturer#5,1-URGENT,1,MACHINERY,AIR,2,0.06,4,Brand#52,2,SM PKG,47,1299,48497.9145
F,F,NONE,2,Manufacturer#1,1-URGENT,1,MACHINERY,TRUCK,1,0.04,21,Brand#14,2,JUMBO DRUM,14,1299,67374.97
F,F,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,2,MACHINERY,RAIL,3,0,16,Brand#54,21,JUMBO DRUM,9,956,8997.5613
F,F,NONE,2,Manufacturer#5,2-HIGH,2,MACHINERY,REG AIR,2,0.02,9,Brand#51,21,JUMBO BAG,10,956,60381.354
F,F,NONE,1,Manufacturer#4,4-NOT SPECIFIED,4,BUILDING,SHIP,2,0.01,2,Brand#44,10,SM BAG,7,2471,21383.208
F,F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,1,MACHINERY,RAIL,1,0.03,24,Brand#11,24,JUMBO BAG,1,94,31371.504
F,F,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,1,MACHINERY,MAIL,2,0.05,20,Brand#11,24,MED BAG,49,94,46767.2634
F,F,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,1,MACHINERY,SHIP,5,0.06,8,Brand#52,24,WRAP DRUM,38,94,61778.3166
F,F,NONE,0,Manufacturer#2,5-LOW,1,MACHINERY,MAIL,6,0.08,14,Brand#24,24,WRAP JAR,43,94,45051.1995
F,F,COLLECT COD,1,Manufacturer#5,2-HIGH,1,AUTOMOBILE,SHIP,2,0.05,2,Brand#53,2,MED BAG,31,2472,6730.7016
F,F,NONE,1,Manufacturer#2,5-LOW,2,FURNITURE,RAIL,1,0,1,Brand#21,18,JUMBO DRUM,6,2473,23982.75
F,F,COLLECT COD,2,Manufacturer#1,5-LOW,2,FURNITURE,FOB,4,0.01,9,Brand#12,18,LG DRUM,37,2473,3368.415
F,F,DELIVER IN PERSON,2,Manufacturer#3,3-MEDIUM,1,HOUSEHOLD,TRUCK,3,0.08,8,Brand#32,24,MED CAN,12,2474,20863.9844
F,F,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,1,HOUSEHOLD,RAIL,4,0.02,23,Brand#31,24,SM PKG,14,2474,1490.166
F,F,DELIVER IN PERSON,0,Manufacturer#2,2-HIGH,3,FURNITURE,AIR,1,0.04,15,Brand#24,19,SM CASE,38,2475,2144.3
F,F,NONE,2,Manufacturer#2,2-HIGH,2,MACHINERY,RAIL,5,0.04,8,Brand#22,8,LG BAG,29,2476,29803.6484
F,F,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,2,MACHINERY,MAIL,3,0.03,15,Brand#31,8,WRAP PACK,10,2476,40819.8948
F,F,TAKE BACK RETURN,1,Manufacturer#5,3-MEDIUM,1,BUILDING,SHIP,2,0.05,24,Brand#55,24,MED PACK,23,2477,3153.3736
F,F,TAKE BACK RETURN,2,Manufacturer#3,3-MEDIUM,1,BUILDING,SHIP,5,0.08,12,Brand#33,24,WRAP PACK,4,2477,15818.112
F,F,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,1,BUILDING,RAIL,3,0,16,Brand#11,24,SM BAG,8,2477,10670.59
F,F,TAKE BACK RETURN,1,Manufacturer#2,1-URGENT,3,BUILDING,AIR,1,0.04,2,Brand#24,22,LG DRUM,11,1079,16982.5788
F,F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,2,MACHINERY,MAIL,1,0.05,18,Brand#31,12,WRAP JAR,39,2478,77118.492
F,F,TAKE BACK RETURN,0,Manufacturer#2,3-MEDIUM,0,HOUSEHOLD,REG AIR,4,0.02,14,Brand#21,16,WRAP PKG,27,2479,32096.27
F,F,COLLECT COD,0,Manufacturer#2,3-MEDIUM,0,HOUSEHOLD,TRUCK,6,0.01,5,Brand#25,16,LG DRUM,11,2479,15271.592
F,F,NONE,3,Manufacturer#5,3-MEDIUM,0,HOUSEHOLD,REG AIR,1,0.03,19,Brand#55,16,WRAP DRUM,35,2479,77264.5643
F,F,COLLECT COD,2,Manufacturer#5,3-MEDIUM,0,HOUSEHOLD,REG AIR,3,0.02,18,Brand#51,16,WRAP JAR,49,2479,11670.788
F,F,NONE,3,Manufacturer#2,5-LOW,2,FURNITURE,TRUCK,1,0.08,22,Brand#24,18,LG CAN,47,2480,2865.4302
F,F,NONE,0,Manufacturer#5,3-MEDIUM,2,FURNITURE,AIR,1,0.04,15,Brand#55,18,WRAP PKG,31,2481,8027.5536
F,F,COLLECT COD,3,Manufacturer#5,3-MEDIUM,2,FURNITURE,MAIL,2,0.03,23,Brand#53,18,SM BAG,27,2481,9161.7648
F,F,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,3,BUILDING,RAIL,7,0.04,12,Brand#12,6,SM JAR,50,2482,53029.1976
F,F,DELIVER IN PERSON,4,Manufacturer#5,2-HIGH,3,BUILDING,REG AIR,3,0.01,10,Brand#55,6,SM CASE,3,2482,51931.5408
F,F,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,3,BUILDING,AIR,1,0.02,0,Brand#31,6,WRAP CAN,14,2482,47211.0328
F,F,NONE,2,Manufacturer#1,1-URGENT,3,AUTOMOBILE,MAIL,2,0.02,12,Brand#13,7,SM DRUM,10,406,23499.8973
F,F,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,3,AUTOMOBILE,SHIP,1,0.06,21,Brand#22,6,MED CAN,4,2483,15238.6416
F,F,COLLECT COD,0,Manufacturer#2,1-URGENT,3,AUTOMOBILE,SHIP,3,0.06,15,Brand#25,7,SM BOX,17,406,12116.412
F,F,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,1,MACHINERY,REG AIR,4,0.03,15,Brand#34,24,WRAP DRUM,36,1759,47206.4565
F,F,TAKE BACK RETURN,3,Manufacturer#3,4-NOT SPECIFIED,1,MACHINERY,SHIP,2,0.06,6,Brand#33,24,LG CAN,20,1759,4308.69
F,F,COLLECT COD,2,Manufacturer#2,4-NOT SPECIFIED,1,MACHINERY,FOB,6,0.05,12,Brand#21,24,MED CASE,9,1759,17392.815
F,F,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,1,MACHINERY,MAIL,5,0.01,1,Brand#15,24,JUMBO BOX,32,1759,28199.7312
F,F,NONE,0,Manufacturer#1,2-HIGH,1,HOUSEHOLD,SHIP,5,0.01,15,Brand#11,3,JUMBO BOX,23,2484,42150.879
F,F,NONE,0,Manufacturer#1,1-URGENT,1,AUTOMOBILE,TRUCK,5,0.01,0,Brand#15,2,MED DRUM,1,2485,61132.253
F,F,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,1,AUTOMOBILE,MAIL,4,0.07,0,Brand#21,2,LG PACK,25,2485,6077.6244
F,F,DELIVER IN PERSON,4,Manufacturer#1,1-URGENT,1,AUTOMOBILE,REG AIR,1,0.01,13,Brand#11,2,WRAP CAN,47,2485,36536.22
F,F,COLLECT COD,4,Manufacturer#1,1-URGENT,1,AUTOMOBILE,TRUCK,2,0.01,11,Brand#14,2,MED BOX,41,2485,41660.3904
F,F,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,1,HOUSEHOLD,MAIL,1,0.07,9,Brand#35,3,SM BOX,36,2484,7403.428
F,F,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,RAIL,3,0.08,24,Brand#54,3,WRAP PACK,34,2484,60929.232
F,F,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,2,HOUSEHOLD,REG AIR,5,0.03,10,Brand#25,9,JUMBO CAN,34,2486,34167.2636
F,F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,0,BUILDING,SHIP,1,0.07,2,Brand#24,16,JUMBO JAR,17,2487,30569.67
F,F,DELIVER IN PERSON,3,Manufacturer#5,3-MEDIUM,2,MACHINERY,SHIP,2,0.04,6,Brand#52,12,JUMBO BOX,24,2488,8394.5449
F,F,NONE,1,Manufacturer#4,3-MEDIUM,2,MACHINERY,REG AIR,1,0.03,2,Brand#41,12,WRAP BOX,42,2488,34978.176
F,F,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,2,AUTOMOBILE,FOB,1,0.04,18,Brand#33,12,SM BAG,10,2489,62718.21
F,F,NONE,4,Manufacturer#3,5-LOW,2,AUTOMOBILE,REG AIR,3,0.05,13,Brand#33,12,LG JAR,41,2489,55994.9
F,F,NONE,4,Manufacturer#1,5-LOW,0,FURNITURE,FOB,1,0,20,Brand#15,14,LG CASE,2,2528,32600.0948
F,F,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,4,FURNITURE,MAIL,7,0.05,7,Brand#43,13,SM CAN,38,2490,71007.4778
F,F,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,4,FURNITURE,FOB,6,0,15,Brand#55,13,JUMBO CASE,10,2490,50526.2972
F,F,NONE,1,Manufacturer#1,4-NOT SPECIFIED,3,HOUSEHOLD,AIR,2,0,24,Brand#13,6,LG DRUM,47,2491,33589.5588
F,F,NONE,3,Manufacturer#3,1-URGENT,4,MACHINERY,FOB,1,0,22,Brand#34,11,LG BOX,35,2492,3970.8942
F,F,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,1,MACHINERY,TRUCK,2,0.07,8,Brand#45,3,JUMBO PACK,49,2493,20496.546
F,F,NONE,1,Manufacturer#2,5-LOW,1,MACHINERY,RAIL,5,0.03,17,Brand#23,3,WRAP BAG,3,2493,18373.551
F,F,TAKE BACK RETURN,3,Manufacturer#3,5-LOW,1,MACHINERY,TRUCK,1,0.02,22,Brand#32,3,JUMBO CAN,10,2493,17720.304
F,F,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,0,AUTOMOBILE,FOB,6,0.07,15,Brand#41,15,SM BOX,18,2464,23846.6592
F,F,COLLECT COD,3,Manufacturer#2,1-URGENT,3,MACHINERY,MAIL,1,0.01,19,Brand#25,23,MED BAG,45,2494,30146.1552
F,F,NONE,2,Manufacturer#3,2-HIGH,0,AUTOMOBILE,REG AIR,1,0.07,8,Brand#33,15,WRAP PKG,10,2464,40583.27
F,F,TAKE BACK RETURN,1,Manufacturer#3,2-HIGH,0,AUTOMOBILE,AIR,7,0.03,24,Brand#34,15,LG BAG,14,2464,31702.51
F,F,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,0,AUTOMOBILE,REG AIR,4,0.07,12,Brand#14,15,JUMBO BAG,17,2464,60607.8019
F,F,NONE,3,Manufacturer#4,2-HIGH,0,AUTOMOBILE,REG AIR,2,0.01,23,Brand#42,15,SM CAN,30,2464,24813
F,F,NONE,2,Manufacturer#1,2-HIGH,0,AUTOMOBILE,FOB,3,0.08,18,Brand#11,15,JUMBO BOX,46,2464,12238.116
F,F,NONE,2,Manufacturer#2,2-HIGH,0,AUTOMOBILE,REG AIR,5,0.06,18,Brand#25,15,SM JAR,41,2464,37359.1944
F,F,DELIVER IN PERSON,0,Manufacturer#4,3-MEDIUM,3,FURNITURE,AIR,3,0,5,Brand#41,6,WRAP BAG,10,227,23429.502
F,F,NONE,2,Manufacturer#1,3-MEDIUM,4,BUILDING,TRUCK,1,0.05,21,Brand#13,13,JUMBO PACK,11,2495,57243.095
F,F,COLLECT COD,1,Manufacturer#1,2-HIGH,1,AUTOMOBILE,SHIP,6,0.03,1,Brand#15,17,SM BAG,31,2496,49162.4418
F,F,COLLECT COD,4,Manufacturer#2,2-HIGH,1,AUTOMOBILE,TRUCK,2,0.08,4,Brand#23,17,LG BOX,17,2496,20763.8578
F,F,NONE,4,Manufacturer#5,2-HIGH,1,AUTOMOBILE,MAIL,5,0.07,4,Brand#51,17,LG CAN,23,2496,3501.567
F,F,COLLECT COD,4,Manufacturer#3,2-HIGH,1,AUTOMOBILE,SHIP,1,0.08,4,Brand#34,17,MED BAG,8,2496,57928.5912
F,F,DELIVER IN PERSON,4,Manufacturer#4,5-LOW,4,FURNITURE,TRUCK,1,0.08,20,Brand#42,11,SM PKG,14,2497,46042.43
F,F,COLLECT COD,4,Manufacturer#3,3-MEDIUM,2,FURNITURE,REG AIR,6,0.07,10,Brand#34,21,WRAP BOX,34,2498,36917.812
F,F,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,2,FURNITURE,AIR,2,0.05,4,Brand#33,21,WRAP JAR,2,2498,66732.237
F,F,DELIVER IN PERSON,1,Manufacturer#5,3-MEDIUM,2,FURNITURE,AIR,1,0.01,17,Brand#55,21,SM BOX,7,2498,46968.1344
F,F,TAKE BACK RETURN,3,Manufacturer#3,3-MEDIUM,1,HOUSEHOLD,MAIL,3,0.05,7,Brand#32,17,SM BOX,30,2499,45075.35
F,F,NONE,0,Manufacturer#1,3-MEDIUM,1,HOUSEHOLD,FOB,2,0.01,0,Brand#13,17,SM BOX,9,2499,26034.183
F,F,COLLECT COD,4,Manufacturer#5,3-MEDIUM,1,HOUSEHOLD,AIR,2,0.08,10,Brand#54,2,JUMBO CASE,2,2500,21631.7752
F,F,TAKE BACK RETURN,4,Manufacturer#1,3-MEDIUM,1,HOUSEHOLD,AIR,3,0.07,11,Brand#12,2,MED BOX,12,2500,5421.72
F,F,COLLECT COD,1,Manufacturer#3,3-MEDIUM,1,HOUSEHOLD,AIR,4,0.06,2,Brand#35,2,MED CAN,22,2500,5297.4195
F,F,COLLECT COD,3,Manufacturer#5,3-MEDIUM,1,HOUSEHOLD,RAIL,1,0.06,19,Brand#54,2,WRAP DRUM,17,2500,19200.96
F,F,TAKE BACK RETURN,0,Manufacturer#2,3-MEDIUM,0,MACHINERY,RAIL,2,0.06,0,Brand#21,16,MED CAN,44,2501,3708.369
F,F,NONE,2,Manufacturer#5,4-NOT SPECIFIED,3,FURNITURE,FOB,3,0.03,12,Brand#53,23,JUMBO CAN,35,2502,43913.0965
F,F,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,3,FURNITURE,TRUCK,1,0,0,Brand#25,23,JUMBO PKG,25,2502,64426.3092
F,F,NONE,2,Manufacturer#1,4-NOT SPECIFIED,3,FURNITURE,REG AIR,5,0.04,21,Brand#11,23,WRAP DRUM,7,2502,36184.8864
F,F,COLLECT COD,4,Manufacturer#1,4-NOT SPECIFIED,3,FURNITURE,FOB,7,0.02,11,Brand#14,23,MED BOX,49,2502,80835
F,F,COLLECT COD,2,Manufacturer#2,1-URGENT,2,FURNITURE,SHIP,1,0,8,Brand#25,12,JUMBO JAR,44,2503,55211.04
F,F,TAKE BACK RETURN,2,Manufacturer#2,1-URGENT,2,FURNITURE,REG AIR,2,0.04,21,Brand#23,12,MED BOX,13,2503,40781.898
F,F,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,4,FURNITURE,SHIP,4,0.08,8,Brand#32,10,JUMBO BAG,50,2349,38524.2765
F,F,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,4,BUILDING,REG AIR,1,0.02,7,Brand#41,20,SM CASE,5,1355,31285.575
F,F,TAKE BACK RETURN,4,Manufacturer#3,2-HIGH,3,MACHINERY,TRUCK,2,0.04,20,Brand#31,23,JUMBO PKG,45,2504,73989.855
F,F,DELIVER IN PERSON,1,Manufacturer#1,3-MEDIUM,0,MACHINERY,REG AIR,3,0.08,3,Brand#12,0,MED JAR,23,2505,41611.0365
F,F,COLLECT COD,2,Manufacturer#1,1-URGENT,0,HOUSEHOLD,REG AIR,4,0,9,Brand#14,14,WRAP PACK,20,2245,55488.1248
F,F,NONE,2,Manufacturer#4,3-MEDIUM,0,MACHINERY,AIR,6,0.01,18,Brand#43,16,WRAP BAG,48,2501,61244.22
F,F,TAKE BACK RETURN,3,Manufacturer#5,3-MEDIUM,0,MACHINERY,MAIL,5,0,22,Brand#55,16,LG CASE,26,2501,12766.1856
F,F,COLLECT COD,2,Manufacturer#3,3-MEDIUM,0,MACHINERY,REG AIR,1,0.07,8,Brand#35,16,JUMBO PKG,42,2501,20392.4448
F,F,COLLECT COD,2,Manufacturer#1,3-MEDIUM,0,MACHINERY,SHIP,3,0.02,18,Brand#15,16,MED BAG,43,2501,31424.5624
F,F,TAKE BACK RETURN,0,Manufacturer#5,5-LOW,0,AUTOMOBILE,AIR,1,0.04,16,Brand#53,5,SM BOX,22,320,11550.2688
F,F,COLLECT COD,3,Manufacturer#3,5-LOW,1,FURNITURE,REG AIR,3,0.02,23,Brand#34,2,WRAP CAN,37,2506,41669.77
F,F,NONE,3,Manufacturer#2,5-LOW,1,FURNITURE,RAIL,2,0.06,23,Brand#22,2,JUMBO BOX,1,2506,19082.5664
F,F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,SHIP,4,0.01,17,Brand#24,18,JUMBO PKG,45,2507,29964.7936
F,F,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,4,MACHINERY,TRUCK,3,0.02,22,Brand#34,11,MED BOX,16,806,10861.983
F,F,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,3,AUTOMOBILE,REG AIR,5,0.05,7,Brand#34,23,JUMBO PACK,31,2508,40553.4129
F,F,COLLECT COD,3,Manufacturer#2,5-LOW,3,AUTOMOBILE,RAIL,3,0.01,23,Brand#23,23,SM JAR,22,2508,21396.9888
F,F,TAKE BACK RETURN,1,Manufacturer#1,5-LOW,3,AUTOMOBILE,TRUCK,2,0.08,2,Brand#15,23,JUMBO BAG,13,2508,47099.405
F,F,DELIVER IN PERSON,1,Manufacturer#2,5-LOW,3,AUTOMOBILE,FOB,4,0.01,24,Brand#22,23,LG DRUM,33,2508,34055.721
F,F,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,2,FURNITURE,RAIL,5,0.01,9,Brand#11,21,LG PKG,20,2509,42490.7724
F,F,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,2,FURNITURE,FOB,3,0.04,8,Brand#43,21,JUMBO BAG,28,2509,19468.35
F,F,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,2,FURNITURE,TRUCK,1,0,21,Brand#32,21,JUMBO BAG,5,2509,3147.42
F,F,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,2,FURNITURE,TRUCK,7,0.07,15,Brand#51,21,MED DRUM,50,2509,6853.1265
F,F,NONE,2,Manufacturer#3,2-HIGH,2,FURNITURE,REG AIR,6,0.05,12,Brand#33,21,SM BAG,1,2509,80536.1638
F,F,COLLECT COD,1,Manufacturer#1,2-HIGH,4,AUTOMOBILE,AIR,6,0.07,3,Brand#15,11,JUMBO PKG,24,2510,4363.8069
F,F,NONE,1,Manufacturer#3,2-HIGH,4,AUTOMOBILE,AIR,2,0.06,1,Brand#35,11,JUMBO PACK,26,2510,58014.528
F,F,DELIVER IN PERSON,1,Manufacturer#2,2-HIGH,4,AUTOMOBILE,RAIL,1,0.03,1,Brand#23,11,JUMBO CASE,30,2510,24486.1056
F,F,DELIVER IN PERSON,2,Manufacturer#5,5-LOW,1,MACHINERY,AIR,1,0.03,8,Brand#51,24,SM DRUM,21,2511,23169.9244
F,F,NONE,0,Manufacturer#4,5-LOW,1,MACHINERY,AIR,5,0.02,16,Brand#44,24,JUMBO BAG,22,2511,80544.15
F,F,COLLECT COD,0,Manufacturer#5,5-LOW,1,MACHINERY,SHIP,2,0.02,15,Brand#55,24,JUMBO PKG,5,2511,32492.8422
F,F,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,2,BUILDING,MAIL,6,0.06,19,Brand#13,21,MED CAN,39,898,85890
F,F,TAKE BACK RETURN,2,Manufacturer#2,5-LOW,2,BUILDING,AIR,1,0.08,12,Brand#22,21,WRAP JAR,22,898,87499.68
F,F,DELIVER IN PERSON,3,Manufacturer#2,5-LOW,2,BUILDING,MAIL,3,0.07,7,Brand#23,21,SM BOX,46,898,16022.586
F,F,COLLECT COD,3,Manufacturer#1,5-LOW,0,AUTOMOBILE,TRUCK,1,0.01,22,Brand#13,5,JUMBO PACK,12,2512,15027.012
F,F,COLLECT COD,0,Manufacturer#4,3-MEDIUM,2,AUTOMOBILE,REG AIR,2,0.02,0,Brand#44,18,SM BAG,13,2507,59691.5228
F,F,DELIVER IN PERSON,1,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,SHIP,1,0.01,2,Brand#54,18,SM BAG,29,2507,50011.4433
F,F,NONE,1,Manufacturer#1,1-URGENT,3,MACHINERY,AIR,4,0.02,24,Brand#14,19,WRAP BAG,40,2513,40649.1282
F,F,NONE,0,Manufacturer#2,1-URGENT,3,MACHINERY,SHIP,3,0.08,14,Brand#22,19,WRAP BAG,34,2513,41354.01
F,F,DELIVER IN PERSON,1,Manufacturer#2,1-URGENT,3,MACHINERY,AIR,2,0.08,3,Brand#24,19,MED CASE,29,2513,32398.6425
F,F,DELIVER IN PERSON,3,Manufacturer#2,1-URGENT,3,MACHINERY,REG AIR,6,0.08,7,Brand#24,19,LG CAN,38,2513,44507.52
F,F,NONE,3,Manufacturer#1,1-URGENT,4,AUTOMOBILE,MAIL,4,0.05,22,Brand#14,13,LG PKG,30,1773,27422.6407
F,F,NONE,0,Manufacturer#5,4-NOT SPECIFIED,4,AUTOMOBILE,AIR,1,0.02,15,Brand#52,4,SM JAR,22,430,66570.142
F,F,NONE,2,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,MAIL,3,0.08,12,Brand#24,4,WRAP CAN,34,430,9063.6
F,F,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,AIR,6,0.05,17,Brand#31,4,SM JAR,44,430,52940.8152
F,F,DELIVER IN PERSON,0,Manufacturer#2,4-NOT SPECIFIED,1,BUILDING,TRUCK,1,0.03,14,Brand#21,1,SM BOX,11,2056,60509.4672
F,F,NONE,1,Manufacturer#3,1-URGENT,1,MACHINERY,MAIL,3,0,2,Brand#34,17,LG JAR,1,2514,962.9664
F,F,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,1,MACHINERY,TRUCK,2,0.07,24,Brand#33,17,JUMBO PACK,35,2514,13680.6208
F,F,NONE,3,Manufacturer#5,1-URGENT,1,MACHINERY,REG AIR,4,0.02,6,Brand#54,17,WRAP CASE,6,2514,53094.2538
F,F,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,4,AUTOMOBILE,MAIL,6,0.06,8,Brand#44,13,WRAP CASE,13,1773,65924.1
