l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,groupcol,aggcol
O,O,N,DELIVER IN PERSON,1,Manufacturer#2,2-HIGH,4,FURNITURE,FOB,2,0.04,0.01,17,Brand#21,4,9679,7
O,O,N,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,4,FURNITURE,AIR,3,0.05,0.07,24,Brand#11,4,9679,29
O,O,N,COLLECT COD,3,Manufacturer#1,2-HIGH,4,FURNITURE,MAIL,1,0.03,0.02,19,Brand#12,4,9679,19
F,F,A,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,1,FURNITURE,AIR,1,0.05,0.04,18,Brand#13,1,9680,41
F,F,A,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,1,FURNITURE,SHIP,4,0.03,0.04,2,Brand#33,1,9680,24
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,1,FURNITURE,AIR,3,0.05,0.1,0,Brand#31,1,9680,35
F,F,R,COLLECT COD,2,Manufacturer#5,1-URGENT,1,FURNITURE,MAIL,2,0.02,0.06,18,Brand#53,1,9680,4
O,O,N,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,0,MACHINERY,AIR,1,0.01,0.1,4,Brand#54,16,9681,25
O,O,N,NONE,1,Manufacturer#3,3-MEDIUM,0,MACHINERY,AIR,2,0.08,0.09,2,Brand#35,16,9681,37
O,O,N,COLLECT COD,1,Manufacturer#2,3-MEDIUM,0,MACHINERY,TRUCK,3,0.06,0.05,24,Brand#22,16,9681,15
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,0,BUILDING,RAIL,5,0.08,0.07,18,Brand#42,0,9682,43
F,F,R,COLLECT COD,4,Manufacturer#4,3-MEDIUM,0,BUILDING,MAIL,6,0.04,0.06,13,Brand#44,0,9682,16
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,3-MEDIUM,0,BUILDING,AIR,2,0.02,0,24,Brand#55,0,9682,16
F,F,R,COLLECT COD,3,Manufacturer#4,3-MEDIUM,0,BUILDING,RAIL,1,0.03,0,7,Brand#45,0,9682,46
F,F,A,TAKE BACK RETURN,1,Manufacturer#3,3-MEDIUM,0,BUILDING,TRUCK,3,0.05,0.02,3,Brand#34,0,9682,37
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,3-MEDIUM,0,BUILDING,MAIL,4,0.03,0.09,7,Brand#15,0,9682,31
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,AIR,1,0.06,0.02,16,Brand#25,10,9683,2
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,FOB,4,0,0.02,5,Brand#33,10,9683,36
F,F,A,NONE,1,Manufacturer#1,4-NOT SPECIFIED,4,AUTOMOBILE,SHIP,2,0.02,0.02,17,Brand#12,10,9683,34
F,F,A,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,TRUCK,5,0,0.08,21,Brand#34,10,9683,18
F,F,R,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,SHIP,3,0.02,0.07,14,Brand#24,10,9683,22
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,MAIL,6,0.05,0.03,11,Brand#25,10,9683,39
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,4,HOUSEHOLD,REG AIR,3,0.05,0.02,17,Brand#14,10,9684,46
O,O,N,NONE,0,Manufacturer#1,1-URGENT,4,HOUSEHOLD,FOB,2,0.05,0.05,0,Brand#11,10,9684,23
O,O,N,DELIVER IN PERSON,3,Manufacturer#2,1-URGENT,4,HOUSEHOLD,TRUCK,1,0.06,0.06,22,Brand#24,10,9684,47
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,3,MACHINERY,SHIP,2,0.03,0.06,9,Brand#44,23,9685,3
O,O,N,TAKE BACK RETURN,4,Manufacturer#1,2-HIGH,3,MACHINERY,TRUCK,1,0.04,0.06,13,Brand#11,23,9685,13
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,3-MEDIUM,1,FURNITURE,TRUCK,4,0.07,0.04,16,Brand#21,24,9686,26
F,F,A,NONE,1,Manufacturer#4,3-MEDIUM,1,FURNITURE,FOB,1,0.05,0.01,17,Brand#42,24,9686,24
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,3-MEDIUM,1,FURNITURE,AIR,5,0.03,0.01,15,Brand#25,24,9686,12
F,F,R,DELIVER IN PERSON,1,Manufacturer#5,3-MEDIUM,1,FURNITURE,SHIP,6,0.07,0.1,24,Brand#55,24,9686,11
F,F,R,NONE,2,Manufacturer#5,3-MEDIUM,1,FURNITURE,AIR,3,0.02,0.09,8,Brand#55,24,9686,16
F,F,A,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,1,FURNITURE,SHIP,2,0,0.05,19,Brand#21,24,9686,41
F,F,A,NONE,2,Manufacturer#4,3-MEDIUM,4,HOUSEHOLD,MAIL,3,0,0.1,8,Brand#45,10,9687,50
F,F,A,COLLECT COD,1,Manufacturer#5,3-MEDIUM,4,HOUSEHOLD,TRUCK,5,0.08,0.03,24,Brand#52,10,9687,23
F,F,R,NONE,1,Manufacturer#4,3-MEDIUM,4,HOUSEHOLD,AIR,2,0.06,0.06,24,Brand#45,10,9687,25
F,F,A,COLLECT COD,0,Manufacturer#2,3-MEDIUM,4,HOUSEHOLD,AIR,1,0.04,0.09,14,Brand#25,10,9687,48
F,F,A,NONE,3,Manufacturer#1,3-MEDIUM,4,HOUSEHOLD,RAIL,6,0.01,0.01,7,Brand#11,10,9687,32
F,F,A,COLLECT COD,2,Manufacturer#2,3-MEDIUM,4,HOUSEHOLD,FOB,4,0.05,0.1,8,Brand#23,10,9687,25
F,F,R,NONE,4,Manufacturer#5,2-HIGH,2,HOUSEHOLD,AIR,3,0.01,0.03,11,Brand#55,8,9688,45
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,2-HIGH,2,HOUSEHOLD,TRUCK,1,0.04,0.06,14,Brand#24,8,9688,17
F,F,R,NONE,0,Manufacturer#3,2-HIGH,2,HOUSEHOLD,FOB,4,0.05,0.08,5,Brand#35,8,9688,31
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,2,HOUSEHOLD,FOB,6,0.08,0.09,17,Brand#14,8,9688,43
F,F,R,COLLECT COD,2,Manufacturer#4,2-HIGH,2,HOUSEHOLD,RAIL,2,0.08,0,21,Brand#44,8,9688,14
F,F,R,COLLECT COD,3,Manufacturer#1,2-HIGH,2,HOUSEHOLD,FOB,7,0,0.09,22,Brand#11,8,9688,22
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,2,HOUSEHOLD,MAIL,5,0.02,0.02,21,Brand#34,8,9688,18
F,F,R,NONE,1,Manufacturer#2,4-NOT SPECIFIED,0,FURNITURE,MAIL,1,0.02,0.08,1,Brand#21,5,9689,43
O,O,N,TAKE BACK RETURN,3,Manufacturer#2,3-MEDIUM,1,BUILDING,REG AIR,3,0.06,0.06,19,Brand#25,3,9690,29
O,O,N,NONE,2,Manufacturer#3,3-MEDIUM,1,BUILDING,SHIP,1,0.03,0,9,Brand#35,3,9690,35
O,O,N,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,1,BUILDING,RAIL,2,0.04,0.04,17,Brand#21,3,9690,37
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,1,BUILDING,TRUCK,4,0.03,0.01,16,Brand#12,3,9690,15
O,O,N,COLLECT COD,3,Manufacturer#1,1-URGENT,2,AUTOMOBILE,RAIL,3,0.01,0.02,6,Brand#13,9,9691,47
O,O,N,DELIVER IN PERSON,2,Manufacturer#5,1-URGENT,2,AUTOMOBILE,TRUCK,1,0.05,0.02,18,Brand#52,9,9691,31
O,O,N,DELIVER IN PERSON,0,Manufacturer#3,1-URGENT,2,AUTOMOBILE,RAIL,2,0.03,0.03,16,Brand#33,9,9691,13
O,O,N,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,3,HOUSEHOLD,RAIL,4,0.04,0.02,22,Brand#33,19,9692,36
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,4-NOT SPECIFIED,3,HOUSEHOLD,TRUCK,3,0.03,0.09,14,Brand#12,19,9692,12
O,O,N,TAKE BACK RETURN,4,Manufacturer#1,4-NOT SPECIFIED,3,HOUSEHOLD,SHIP,1,0.02,0.06,4,Brand#15,19,9692,24
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,3,HOUSEHOLD,AIR,2,0.03,0.02,24,Brand#11,19,9692,39
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,4-NOT SPECIFIED,0,BUILDING,FOB,2,0.06,0.1,14,Brand#14,15,9693,39
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,4-NOT SPECIFIED,0,BUILDING,MAIL,1,0,0,23,Brand#31,15,9693,5
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,4,BUILDING,SHIP,3,0,0.01,1,Brand#32,10,9694,26
O,O,N,COLLECT COD,2,Manufacturer#3,5-LOW,4,BUILDING,RAIL,6,0.08,0.1,8,Brand#35,10,9694,27
O,O,N,NONE,3,Manufacturer#2,5-LOW,4,BUILDING,AIR,5,0.01,0.01,19,Brand#21,10,9694,13
O,O,N,COLLECT COD,2,Manufacturer#1,5-LOW,4,BUILDING,TRUCK,1,0.01,0.02,18,Brand#12,10,9694,39
O,O,N,COLLECT COD,1,Manufacturer#1,5-LOW,4,BUILDING,AIR,4,0.08,0.04,24,Brand#15,10,9694,5
O,O,N,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,BUILDING,FOB,7,0.08,0.1,4,Brand#24,10,9694,27
O,O,N,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,4,BUILDING,TRUCK,2,0.07,0.03,4,Brand#24,10,9694,19
O,O,N,COLLECT COD,0,Manufacturer#5,1-URGENT,1,HOUSEHOLD,REG AIR,1,0.01,0.1,0,Brand#52,2,9695,19
F,F,R,COLLECT COD,0,Manufacturer#4,1-URGENT,1,BUILDING,MAIL,3,0.06,0.1,16,Brand#45,17,9696,27
F,F,R,NONE,4,Manufacturer#1,1-URGENT,1,BUILDING,RAIL,1,0.05,0.09,4,Brand#13,17,9696,24
F,F,A,COLLECT COD,3,Manufacturer#3,1-URGENT,1,BUILDING,MAIL,2,0.06,0.03,19,Brand#32,17,9696,32
F,F,A,COLLECT COD,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,2,0.08,0.02,17,Brand#51,3,9697,16
F,F,A,TAKE BACK RETURN,2,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,5,0,0.08,9,Brand#54,3,9697,10
F,F,R,NONE,2,Manufacturer#3,2-HIGH,1,HOUSEHOLD,FOB,4,0.02,0.02,21,Brand#32,3,9697,11
F,F,R,COLLECT COD,1,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,3,0.05,0.02,2,Brand#43,3,9697,26
F,F,A,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,TRUCK,1,0.08,0.07,14,Brand#45,3,9697,20
F,F,R,NONE,3,Manufacturer#1,3-MEDIUM,0,BUILDING,TRUCK,2,0.07,0.08,23,Brand#12,16,9698,25
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,0,BUILDING,TRUCK,5,0.07,0.06,16,Brand#32,16,9698,33
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,0,BUILDING,MAIL,1,0.04,0.07,16,Brand#33,16,9698,50
F,F,A,COLLECT COD,1,Manufacturer#5,3-MEDIUM,0,BUILDING,SHIP,4,0.01,0.03,24,Brand#55,16,9698,41
F,F,A,COLLECT COD,0,Manufacturer#4,3-MEDIUM,0,BUILDING,SHIP,3,0.02,0.06,16,Brand#43,16,9698,17
O,O,N,NONE,1,Manufacturer#5,2-HIGH,0,MACHINERY,AIR,2,0.05,0.01,24,Brand#52,0,9699,8
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,0,MACHINERY,TRUCK,5,0.07,0.05,24,Brand#32,0,9699,33
O,O,N,NONE,2,Manufacturer#3,2-HIGH,0,MACHINERY,REG AIR,1,0.05,0.01,18,Brand#34,0,9699,20
O,O,N,COLLECT COD,1,Manufacturer#5,2-HIGH,0,MACHINERY,MAIL,3,0,0.05,1,Brand#54,0,9699,37
O,O,N,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,0,MACHINERY,REG AIR,4,0.02,0.06,17,Brand#11,0,9699,44
O,O,N,NONE,1,Manufacturer#1,2-HIGH,4,HOUSEHOLD,RAIL,2,0.02,0.02,2,Brand#12,11,9700,48
O,O,N,COLLECT COD,3,Manufacturer#4,2-HIGH,4,HOUSEHOLD,SHIP,3,0.07,0.03,19,Brand#45,11,9700,25
O,O,N,COLLECT COD,1,Manufacturer#3,2-HIGH,4,HOUSEHOLD,RAIL,4,0.08,0.06,24,Brand#35,11,9700,37
O,O,N,TAKE BACK RETURN,0,Manufacturer#4,2-HIGH,4,HOUSEHOLD,REG AIR,1,0.07,0.02,14,Brand#41,11,9700,24
O,O,N,DELIVER IN PERSON,3,Manufacturer#5,2-HIGH,4,HOUSEHOLD,FOB,5,0.08,0.02,22,Brand#53,11,9700,16
O,O,N,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,2,MACHINERY,RAIL,1,0,0.1,21,Brand#54,8,9701,45
O,O,N,COLLECT COD,4,Manufacturer#2,1-URGENT,4,FURNITURE,MAIL,1,0.01,0.03,4,Brand#23,13,9702,5
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,4,FURNITURE,REG AIR,2,0.06,0.01,1,Brand#11,13,9702,13
O,O,N,NONE,2,Manufacturer#5,1-URGENT,4,FURNITURE,FOB,3,0.06,0.07,9,Brand#51,13,9702,28
F,F,R,COLLECT COD,3,Manufacturer#2,2-HIGH,1,BUILDING,FOB,1,0.04,0,19,Brand#22,1,9703,30
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,1,BUILDING,AIR,1,0.06,0.01,21,Brand#22,17,9704,46
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,4-NOT SPECIFIED,1,BUILDING,AIR,3,0.05,0.04,9,Brand#55,17,9704,23
F,F,A,COLLECT COD,1,Manufacturer#1,4-NOT SPECIFIED,1,BUILDING,MAIL,2,0,0.06,3,Brand#11,17,9704,10
O,O,N,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,1,AUTOMOBILE,REG AIR,2,0.08,0.01,9,Brand#55,2,9705,17
O,O,N,COLLECT COD,0,Manufacturer#2,1-URGENT,1,AUTOMOBILE,RAIL,4,0.03,0.01,14,Brand#22,2,9705,22
O,O,N,NONE,3,Manufacturer#1,1-URGENT,1,AUTOMOBILE,RAIL,1,0.03,0.01,7,Brand#15,2,9705,37
O,O,N,DELIVER IN PERSON,3,Manufacturer#1,1-URGENT,1,AUTOMOBILE,REG AIR,3,0.01,0.03,7,Brand#14,2,9705,25
O,O,N,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,4,HOUSEHOLD,REG AIR,3,0,0.09,9,Brand#14,11,9706,49
O,O,N,DELIVER IN PERSON,2,Manufacturer#5,5-LOW,4,HOUSEHOLD,SHIP,1,0.07,0.08,18,Brand#53,11,9706,34
O,O,N,DELIVER IN PERSON,4,Manufacturer#1,5-LOW,4,HOUSEHOLD,FOB,2,0.08,0,10,Brand#12,11,9706,12
F,F,R,COLLECT COD,2,Manufacturer#5,3-MEDIUM,1,BUILDING,AIR,1,0.04,0.05,9,Brand#51,17,9707,13
F,F,R,DELIVER IN PERSON,0,Manufacturer#4,3-MEDIUM,1,BUILDING,FOB,3,0,0.01,15,Brand#44,17,9707,5
F,F,A,COLLECT COD,1,Manufacturer#5,3-MEDIUM,1,BUILDING,MAIL,7,0.01,0.09,24,Brand#51,17,9707,43
F,F,A,NONE,4,Manufacturer#4,3-MEDIUM,1,BUILDING,SHIP,6,0.04,0.07,11,Brand#42,17,9707,11
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,3-MEDIUM,1,BUILDING,REG AIR,4,0.08,0.1,15,Brand#45,17,9707,28
F,F,R,NONE,2,Manufacturer#2,3-MEDIUM,1,BUILDING,FOB,2,0.05,0.01,9,Brand#25,17,9707,48
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,3-MEDIUM,1,BUILDING,RAIL,5,0.08,0.08,12,Brand#55,17,9707,33
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,2,HOUSEHOLD,AIR,1,0.03,0.04,12,Brand#41,9,9708,23
O,O,N,NONE,0,Manufacturer#3,1-URGENT,2,HOUSEHOLD,FOB,2,0.06,0.06,16,Brand#32,9,9708,11
F,F,R,NONE,4,Manufacturer#4,4-NOT SPECIFIED,2,AUTOMOBILE,TRUCK,4,0.02,0.09,4,Brand#43,9,9709,45
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,TRUCK,2,0.07,0.08,22,Brand#52,9,9709,30
F,F,A,NONE,4,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,RAIL,6,0.04,0,4,Brand#14,9,9709,42
F,F,R,TAKE BACK RETURN,1,Manufacturer#2,4-NOT SPECIFIED,2,AUTOMOBILE,RAIL,5,0.04,0.06,3,Brand#24,9,9709,5
F,F,R,DELIVER IN PERSON,4,Manufacturer#3,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,7,0.04,0.05,4,Brand#32,9,9709,36
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,2,AUTOMOBILE,AIR,3,0.06,0.01,12,Brand#41,9,9709,42
F,F,A,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,2,AUTOMOBILE,FOB,1,0.04,0,18,Brand#35,9,9709,28
O,O,N,TAKE BACK RETURN,0,Manufacturer#4,5-LOW,0,MACHINERY,SHIP,1,0.07,0.07,14,Brand#45,15,9710,43
F,F,R,COLLECT COD,0,Manufacturer#1,2-HIGH,0,MACHINERY,AIR,4,0.04,0.02,16,Brand#11,15,9711,42
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,0,MACHINERY,MAIL,3,0.08,0.09,21,Brand#51,15,9711,35
F,F,A,COLLECT COD,1,Manufacturer#3,2-HIGH,0,MACHINERY,SHIP,2,0.07,0.05,3,Brand#33,15,9711,14
F,F,A,COLLECT COD,3,Manufacturer#3,2-HIGH,0,MACHINERY,RAIL,5,0,0.02,19,Brand#31,15,9711,31
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,0,MACHINERY,SHIP,1,0.02,0,0,Brand#35,15,9711,31
F,F,R,COLLECT COD,1,Manufacturer#5,2-HIGH,0,MACHINERY,RAIL,6,0.04,0.04,1,Brand#51,15,9711,49
F,F,A,NONE,2,Manufacturer#2,3-MEDIUM,1,HOUSEHOLD,MAIL,1,0.04,0.02,18,Brand#22,1,9756,13
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,2,AUTOMOBILE,TRUCK,6,0.06,0.08,24,Brand#42,18,9712,37
O,O,N,COLLECT COD,4,Manufacturer#4,5-LOW,2,AUTOMOBILE,SHIP,1,0,0.1,20,Brand#42,18,9712,25
O,O,N,TAKE BACK RETURN,3,Manufacturer#3,5-LOW,2,AUTOMOBILE,TRUCK,4,0.01,0.02,22,Brand#33,18,9712,11
O,O,N,COLLECT COD,3,Manufacturer#5,5-LOW,2,AUTOMOBILE,TRUCK,3,0,0.04,19,Brand#55,18,9712,41
O,O,N,NONE,2,Manufacturer#1,5-LOW,2,AUTOMOBILE,REG AIR,2,0.04,0.09,21,Brand#14,18,9712,44
O,O,N,DELIVER IN PERSON,0,Manufacturer#4,5-LOW,2,AUTOMOBILE,RAIL,5,0.07,0.05,16,Brand#41,18,9712,25
O,O,N,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,1,BUILDING,MAIL,1,0.04,0.09,8,Brand#31,1,9713,46
O,O,N,COLLECT COD,3,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,RAIL,4,0.07,0.01,19,Brand#42,16,9714,41
O,O,N,TAKE BACK RETURN,1,Manufacturer#2,4-NOT SPECIFIED,0,AUTOMOBILE,AIR,2,0.02,0.04,24,Brand#23,16,9714,29
O,O,N,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,RAIL,6,0.07,0.09,9,Brand#34,16,9714,28
O,O,N,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,MAIL,5,0.06,0.1,7,Brand#31,16,9714,50
O,O,N,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,3,0.08,0.08,18,Brand#53,16,9714,4
O,O,N,NONE,2,Manufacturer#1,4-NOT SPECIFIED,0,AUTOMOBILE,RAIL,1,0,0.03,18,Brand#15,16,9714,25
O,O,N,TAKE BACK RETURN,4,Manufacturer#5,5-LOW,1,BUILDING,REG AIR,3,0.05,0.09,4,Brand#53,1,9715,32
O,O,N,COLLECT COD,3,Manufacturer#2,5-LOW,1,BUILDING,FOB,1,0.05,0.1,22,Brand#23,1,9715,28
O,O,N,COLLECT COD,2,Manufacturer#4,5-LOW,1,BUILDING,FOB,2,0.07,0,12,Brand#43,1,9715,12
F,F,A,COLLECT COD,0,Manufacturer#1,4-NOT SPECIFIED,3,MACHINERY,MAIL,1,0.06,0.05,0,Brand#13,19,9716,46
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,3,MACHINERY,AIR,2,0.01,0.09,18,Brand#43,19,9716,50
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,3,HOUSEHOLD,SHIP,1,0,0.02,0,Brand#33,23,9717,1
O,O,N,NONE,0,Manufacturer#2,2-HIGH,3,HOUSEHOLD,AIR,2,0,0.08,14,Brand#23,23,9717,24
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,3,HOUSEHOLD,RAIL,7,0.07,0.08,17,Brand#34,23,9717,5
O,O,N,NONE,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,REG AIR,3,0.07,0.09,3,Brand#24,23,9717,48
O,O,N,TAKE BACK RETURN,4,Manufacturer#4,2-HIGH,3,HOUSEHOLD,SHIP,5,0.06,0.05,4,Brand#43,23,9717,16
O,O,N,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,3,HOUSEHOLD,TRUCK,6,0.07,0,19,Brand#22,23,9717,41
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,3,HOUSEHOLD,MAIL,4,0.04,0.07,2,Brand#15,23,9717,16
O,O,N,TAKE BACK RETURN,4,Manufacturer#3,1-URGENT,0,FURNITURE,AIR,2,0.05,0.08,10,Brand#34,15,9718,8
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,1-URGENT,0,FURNITURE,FOB,1,0,0.1,15,Brand#12,15,9718,16
F,P,A,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,2,MACHINERY,MAIL,6,0.03,0.01,19,Brand#15,18,9719,44
F,P,R,DELIVER IN PERSON,3,Manufacturer#5,2-HIGH,2,MACHINERY,SHIP,4,0.04,0.05,6,Brand#52,18,9719,15
F,P,A,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,2,MACHINERY,FOB,3,0.01,0.09,1,Brand#53,18,9719,50
F,P,R,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,2,MACHINERY,AIR,2,0.01,0.04,3,Brand#15,18,9719,1
O,P,N,NONE,3,Manufacturer#5,2-HIGH,2,MACHINERY,FOB,7,0.06,0,22,Brand#52,18,9719,31
F,P,A,TAKE BACK RETURN,3,Manufacturer#3,2-HIGH,2,MACHINERY,REG AIR,5,0.03,0.05,19,Brand#33,18,9719,15
F,P,A,COLLECT COD,4,Manufacturer#4,2-HIGH,2,MACHINERY,RAIL,1,0.01,0.03,4,Brand#43,18,9719,25
F,F,R,NONE,1,Manufacturer#1,5-LOW,0,HOUSEHOLD,TRUCK,2,0,0.07,17,Brand#15,16,9720,35
F,F,R,COLLECT COD,4,Manufacturer#5,5-LOW,0,HOUSEHOLD,FOB,7,0.05,0.01,20,Brand#54,16,9720,2
F,F,A,COLLECT COD,3,Manufacturer#5,5-LOW,0,HOUSEHOLD,REG AIR,4,0.07,0.09,7,Brand#54,16,9720,20
F,F,A,COLLECT COD,1,Manufacturer#1,5-LOW,0,HOUSEHOLD,FOB,5,0.06,0.07,3,Brand#15,16,9720,43
F,F,R,COLLECT COD,2,Manufacturer#5,5-LOW,0,HOUSEHOLD,SHIP,6,0.05,0.1,8,Brand#55,16,9720,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,5-LOW,0,HOUSEHOLD,AIR,1,0.05,0.03,22,Brand#25,16,9720,15
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,0,HOUSEHOLD,AIR,3,0.01,0.1,21,Brand#11,16,9720,40
F,F,A,COLLECT COD,3,Manufacturer#2,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,1,0.04,0.04,22,Brand#24,15,9721,29
F,F,A,NONE,1,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,5,0.07,0.01,3,Brand#12,15,9721,18
F,F,A,NONE,1,Manufacturer#2,4-NOT SPECIFIED,0,HOUSEHOLD,MAIL,3,0.05,0.02,24,Brand#21,15,9721,24
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,REG AIR,4,0,0.1,10,Brand#12,15,9721,15
F,F,R,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0,0.06,16,Brand#25,15,9721,36
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,0,FURNITURE,RAIL,1,0.02,0.1,22,Brand#45,0,9722,49
F,F,A,NONE,1,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,5,0.06,0.03,2,Brand#12,8,9723,49
F,F,R,COLLECT COD,0,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,RAIL,2,0.07,0.09,16,Brand#52,8,9723,1
F,F,R,TAKE BACK RETURN,4,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,3,0.08,0.09,4,Brand#33,8,9723,29
F,F,A,TAKE BACK RETURN,2,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,4,0.08,0.09,18,Brand#53,8,9723,28
F,F,A,TAKE BACK RETURN,3,Manufacturer#4,4-NOT SPECIFIED,2,HOUSEHOLD,RAIL,1,0.08,0.09,7,Brand#45,8,9723,18
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,1,FURNITURE,MAIL,1,0.02,0.06,13,Brand#13,17,9724,46
F,F,R,NONE,3,Manufacturer#2,3-MEDIUM,1,FURNITURE,FOB,4,0.08,0.01,22,Brand#21,17,9724,26
F,F,R,NONE,0,Manufacturer#4,3-MEDIUM,1,FURNITURE,MAIL,2,0.01,0,16,Brand#45,17,9724,8
